question_text,question_type,answer_type,starter,created_at,updated_at,question_id,is_deleted,question_text_ja,question_text_ko,question_text_zh_hans,question_text_zh_hant,question_text_es,question_text_fr,question_text_pt,question_text_ar,question_text_hi,question_text_de,question_text_it,question_text_id
I often choose to handle challenges alone,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,24,0,私は課題に一人で取り組むことをよく選ぶ,나는 도전에 혼자서 대처하는 것을 자주 선택한다,我经常选择独自应对挑战,我經常選擇獨自應對挑戰,A menudo elijo enfrentar los desafíos solo,Je choisis souvent de relever les défis seul,Frequentemente escolho lidar com desafios sozinho,غالبًا ما أختار التعامل مع التحديات بمفردي,मैं अक्सर चुनौतियों को अकेले संभालना पसंद करता हूँ,Ich nehme Herausforderungen oft lieber alleine an,Spesso scelgo di affrontare le sfide da solo,Saya sering memilih untuk menghadapi tantangan sendirian
I tend to be quiet and reserved in social settings,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,25,0,私は社交の場では静かで控えめな傾向がある,나는 사교적인 자리에서 조용하고 내성적인 편이다,在社交场合我倾向于安静和内敛,在社交場合我傾向於安靜和內斂,Tiendo a ser tranquilo y reservado en entornos sociales,J’ai tendance à être calme et réservé dans les contextes sociaux,Tendo a ser quieto e reservado em situações sociais,أميل إلى أن أكون هادئًا ومتحفظًا في المواقف الاجتماعية,मैं सामाजिक माहौल में शांत और आरक्षित रहने की प्रवृत्ति रखता हूँ,Ich bin in sozialen Situationen eher ruhig und zurückhaltend,Tendo a essere tranquillo e riservato nelle situazioni sociali,Saya cenderung pendiam dan tertutup dalam lingkungan sosial
I am comfortable bending the rules if necessary,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,26,0,必要に応じてルールを曲げることに抵抗はない,필요하다면 규칙을 약간 어기는 것도 괜찮다,如果有必要，我愿意打破常规,如果有必要，我願意打破常規,Estoy cómodo con infringir las reglas si es necesario,Je suis à l’aise pour contourner les règles si nécessaire,Estou confortável em flexibilizar regras quando necessário,لا أمانع في خرق القواعد إذا لزم الأمر,ज़रूरत पड़ने पर मैं नियमों को थोड़ा लचीला बना सकता हूँ,"Ich bin bereit, Regeln bei Bedarf zu umgehen",Mi sento a mio agio a infrangere le regole se necessario,Saya nyaman melanggar aturan jika perlu
I can manage my stress levels effectively,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,27,0,私はストレスを効果的に管理できる,나는 스트레스를 효과적으로 관리할 수 있다,我能够有效管理压力,我能夠有效管理壓力,Puedo manejar mi nivel de estrés de manera efectiva,Je peux gérer mon stress efficacement,Posso gerenciar meu estresse de forma eficaz,يمكنني إدارة مستويات التوتر لدي بشكل فعال,मैं अपने तनाव के स्तर को प्रभावी ढंग से प्रबंधित कर सकता हूँ,Ich kann mein Stressniveau gut managen,Riesco a gestire bene i miei livelli di stress,Saya dapat mengelola tingkat stres saya secara efektif
I am confident when expressing my ideas,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,28,0,自分の考えを表現することに自信がある,나는 내 생각을 표현할 때 자신감이 있다,表达想法时我很有自信,表達想法時我很有自信,Me siento seguro al expresar mis ideas,Je suis confiant lorsque j’exprime mes idées,Sinto-me confiante ao expressar minhas ideias,أشعر بالثقة عند التعبير عن أفكاري,मैं अपने विचार व्यक्त करते समय आत्मविश्वासी महसूस करता हूँ,"Ich bin selbstbewusst, wenn ich meine Ideen äußere",Sono sicuro nell’esprimere le mie idee,Saya percaya diri saat mengungkapkan ide saya
I enjoy taking on social challenges,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,29,0,社交的な挑戦に取り組むのが好きだ,나는 사회적 도전에 나서는 것을 즐긴다,我喜欢接受社交挑战,我喜歡接受社交挑戰,Disfruto asumir desafíos sociales,J’aime relever des défis sociaux,Gosto de enfrentar desafios sociais,أستمتع بخوض التحديات الاجتماعية,मुझे सामाजिक चुनौतियों का सामना करना पसंद है,Ich stelle mich gerne sozialen Herausforderungen,Mi piace affrontare sfide sociali,Saya senang menghadapi tantangan sosial
"I am often moved by art, music, or literature",,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,30,0,私は芸術や音楽、文学に感動することが多い,"나는 예술, 음악 또는 문학에 자주 감동한다",我经常被艺术、音乐或文学感动,我經常被藝術、音樂或文學感動,"A menudo me conmueve el arte, la música o la literatura","Je suis souvent ému par l’art, la musique ou la littérature","Frequentemente sou tocado por arte, música ou literatura",غالبًا ما أتأثر بالفن أو الموسيقى أو الأدب,"मैं अक्सर कला, संगीत या साहित्य से प्रभावित होता हूँ","Kunst, Musik oder Literatur berühren mich oft",Spesso mi commuovo con arte musica o letteratura,Saya sering tersentuh oleh seni musik atau sastra
I value my privacy in social settings,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,31,0,私は社交の場でのプライバシーを大切にする,나는 사교적인 자리에서의 사생활을 중요하게 생각한다,我重视在社交场合中的隐私,我重視在社交場合中的隱私,Valoro mi privacidad en entornos sociales,Je valorise ma vie privée dans les contextes sociaux,Valorizo minha privacidade em ambientes sociais,أنا أُقدّر خصوصيتي في المناسبات الاجتماعية,मैं सामाजिक माहौल में अपनी गोपनीयता को महत्व देता हूँ,Ich schätze meine Privatsphäre in sozialen Situationen,Valorizzo la mia privacy nelle situazioni sociali,Saya menghargai privasi saya dalam lingkungan sosial
I am independent in my decisions,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,32,0,私は意思決定において自立している,나는 결정을 내릴 때 독립적이다,我在做决定时很独立,我在做決定時很獨立,Soy independiente en mis decisiones,Je suis indépendant dans mes décisions,Sou independente em minhas decisões,أنا مستقل في قراراتي,मैं अपने निर्णयों में स्वतंत्र हूँ,Ich treffe Entscheidungen unabhängig,Sono indipendente nelle mie decisioni,Saya mandiri dalam pengambilan keputusan
I am known for my lively personality,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,33,0,私は活発な性格で知られている,나는 활기찬 성격으로 알려져 있다,我以活泼的个性而闻名,我以活潑的個性而聞名,Soy conocido por mi personalidad animada,Je suis connu pour ma personnalité vive,Sou conhecido por minha personalidade animada,أنا معروف بشخصيتي النشيطة,मैं अपनी जीवंत व्यक्तित्व के लिए जाना जाता हूँ,Ich bin für meine lebhafte Persönlichkeit bekannt,Sono conosciuto per la mia personalità vivace,Saya dikenal karena kepribadian saya yang ceria
I often feel anxious about the future,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,34,0,私は将来について不安を感じることが多い,나는 미래에 대해 자주 불안함을 느낀다,我经常对未来感到焦虑,我經常對未來感到焦慮,A menudo me siento ansioso por el futuro,Je me sens souvent anxieux à propos de l’avenir,Frequentemente me sinto ansioso com o futuro,غالبًا ما أشعر بالقلق بشأن المستقبل,मैं अक्सर भविष्य को लेकर चिंतित रहता हूँ,Ich mache mir oft Sorgen über die Zukunft,Mi sento spesso ansioso per il futuro,Saya sering merasa cemas tentang masa depan
I tend to let others take the lead,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,35,0,私は他人に主導権を任せる傾向がある,나는 다른 사람이 주도하게 두는 편이다,我倾向于让别人带头,我傾向於讓別人帶頭,Tiendo a dejar que otros tomen la iniciativa,J’ai tendance à laisser les autres prendre les devants,Tendo a deixar os outros liderarem,أميل إلى ترك الآخرين يتولون القيادة,मैं दूसरों को नेतृत्व करने देने की प्रवृत्ति रखता हूँ,Ich lasse oft andere die Führung übernehmen,Tendo a lasciare che siano gli altri a prendere l’iniziativa,Saya cenderung membiarkan orang lain memimpin
I am uncomfortable keeping things hidden from others,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,36,0,他人に隠し事をするのは気が引ける,나는 다른 사람에게 무언가를 숨기는 것이 불편하다,我不喜欢对他人隐瞒事情,我不喜歡對他人隱瞞事情,Me incomoda mantener cosas ocultas a los demás,Je suis mal à l’aise à l’idée de cacher des choses aux autres,Sinto-me desconfortável em esconder coisas dos outros,أشعر بعدم الارتياح عند إخفاء الأمور عن الآخرين,मुझे दूसरों से बातें छिपाने में असहजता होती है,"Es ist mir unangenehm, Dinge vor anderen zu verbergen",Mi sento a disagio a nascondere cose agli altri,Saya merasa tidak nyaman menyembunyikan sesuatu dari orang lain
I am confident in my abilities,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,37,0,私は自分の能力に自信がある,나는 내 능력에 자신감이 있다,我对自己的能力很有信心,我對自己的能力很有信心,Confío en mis habilidades,J’ai confiance en mes capacités,Tenho confiança nas minhas habilidades,أنا واثق من قدراتي,मैं अपनी क्षमताओं में आत्मविश्वास रखता हूँ,Ich bin von meinen Fähigkeiten überzeugt,Ho fiducia nelle mie capacità,Saya percaya diri dengan kemampuan saya
I am careful to respect authority,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,38,0,私は権威を尊重することに気をつけている,나는 권위를 존중하려고 신중하다,我很注意尊重权威,我很注意尊重權威,Soy cuidadoso al respetar la autoridad,Je fais attention à respecter l’autorité,Tenho o cuidado de respeitar a autoridade,أنا حريص على احترام السلطة,मैं प्राधिकरण का सम्मान करने में सावधानी बरतता हूँ,"Ich achte darauf, Autoritäten zu respektieren",Faccio attenzione a rispettare l’autorità,Saya berhati-hati dalam menghormati otoritas
I enjoy imagining hypothetical scenarios,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,39,0,私は仮のシナリオを想像するのが好きだ,나는 가상의 상황을 상상하는 것을 즐긴다,我喜欢想象假设情境,我喜歡想像假設情境,Disfruto imaginando escenarios hipotéticos,J’aime imaginer des scénarios hypothétiques,Gosto de imaginar cenários hipotéticos,أستمتع بتخيل سيناريوهات افتراضية,मुझे काल्पनिक परिदृश्यों की कल्पना करना पसंद है,Ich stelle mir gerne hypothetische Szenarien vor,Mi piace immaginare scenari ipotetici,Saya senang membayangkan skenario hipotetis
I often feel anxious when things go wrong,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,40,0,物事がうまくいかないと不安を感じることが多い,일이 잘못되면 불안감을 자주 느낀다,事情出错时我常常感到焦虑,事情出錯時我常常感到焦慮,A menudo me siento ansioso cuando las cosas salen mal,Je me sens souvent anxieux lorsque les choses tournent mal,Frequentemente me sinto ansioso quando as coisas dão errado,غالبًا ما أشعر بالقلق عندما تسوء الأمور,जब चीजें गलत होती हैं तो मैं अक्सर चिंतित हो जाता हूँ,"Ich fühle mich oft ängstlich, wenn etwas schiefläuft",Mi sento spesso ansioso quando le cose vanno male,Saya sering merasa cemas saat sesuatu berjalan salah
I am often lost in thought,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,41,0,私はよく物思いにふける,나는 자주 생각에 잠긴다,我经常陷入沉思,我經常陷入沉思,A menudo me pierdo en mis pensamientos,Je suis souvent perdu dans mes pensées,Frequentemente fico perdido em pensamentos,غالبًا ما أضيع في التفكير,मैं अक्सर विचारों में खोया रहता हूँ,Ich bin oft in Gedanken versunken,Sono spesso assorto nei miei pensieri,Saya sering tenggelam dalam pikiran
I am quick to notice changes in people’s behavior,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,42,0,人の行動の変化にすぐ気づく,나는 사람들의 행동 변화에 빨리 눈치챈다,我很快会注意到他人行为的变化,我很快會注意到他人行為的變化,Detecto rápidamente los cambios en el comportamiento de las personas,Je remarque rapidement les changements de comportement chez les gens,Eu noto rapidamente mudanças no comportamento das pessoas,ألاحظ بسرعة التغيرات في سلوك الآخرين,मैं दूसरों के व्यवहार में बदलाव जल्दी पकड़ लेता हूँ,Ich bemerke schnell Veränderungen im Verhalten anderer,Sono rapido a notare cambiamenti nel comportamento delle persone,Saya cepat menyadari perubahan dalam perilaku orang
I prefer stability over constant change,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,43,0,私は常に変化するよりも安定を好む,나는 끊임없는 변화보다는 안정성을 선호한다,我更喜欢稳定而不是持续变化,我更喜歡穩定而不是持續變化,Prefiero la estabilidad a los cambios constantes,Je préfère la stabilité aux changements constants,Prefiro estabilidade a mudanças constantes,أفضل الاستقرار على التغيير المستمر,मैं लगातार बदलाव के बजाय स्थिरता को पसंद करता हूँ,Ich bevorzuge Stabilität gegenüber ständigem Wandel,Preferisco la stabilità al cambiamento costante,Saya lebih suka stabilitas daripada perubahan terus-menerus
I feel comfortable taking charge in group settings,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,44,0,私はグループの中で主導することに抵抗がない,나는 그룹 상황에서 주도권을 잡는 것이 편하다,我在团队中担任领导角色感到自在,我在團隊中擔任領導角色感到自在,Me siento cómodo liderando en entornos grupales,Je suis à l’aise pour prendre les devants dans un groupe,Sinto-me confortável em liderar em ambientes de grupo,أشعر بالراحة عند تولي القيادة في المجموعات,मैं समूहों में नेतृत्व करने में सहज महसूस करता हूँ,Ich übernehme gerne Verantwortung in Gruppensituationen,Mi sento a mio agio nel prendere il comando in un gruppo,Saya merasa nyaman memimpin dalam pengaturan kelompok
